identifier,Title (Sindhi),Author (English),Year,Author (Sindhi),Title (English),Publisher,Language,Thumbnail,Link
san_0715,سنڌ ۾ سياسي چر پر (انگريزن جي دور ۾),Dr. Dur Mohammad Pathan,1985,ڊاڪٽر در محمد پٺاڻ,Sindh mein siyaasi chur pur (angrezan je daur mein),"Lateef Adabi Academy, Karachi.",sindhi,,
san_0302,جادو ۽ سائنس (جلد پهريون),Sir James George Frazer,1959,سر جيمس جارج فريزر (سومار علي م. سومرو),Jaadu ain Science (Juld 1) [The Golden Bough: A Study in Comparative Religion],"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0339,ساٿ سکيا يا سماجي زندگي,Shewaram Narsinghdas Pherwani,2011,شيوارام نرسنگھداس ڦيرواڻي,Saath sikhya ya samaji zindagi,"Thardeep Gothano Tarqiati Program, Mithi.",sindhi,,
san_0897,هلال پاڪستان مئگزين (مارچ 1983ع),Faqeer Mohammad Lashari,1983,فقير محمد لاشاري,Halal Pakistan Magazine (March 1983),"Shaikh Sultan Trust, Karachi.",sindhi,,
san_0370,وتائي فقير جون ڳالهيون ۽ چرچا,Danish Zia,2001,دانش ضياءَ,Wataaee Faqeer joon Galhiyun ain charcha,"Sindh Book Club, Hyderabad.",sindhi,,
san_0450,ٻہ جاڙا ڀائر,Mirza Qaleech Baig,1993,مرزا قليچ بيگ,Ba JaaRa Bhair,Sindhi Adabi Board,sindhi,,
san_0546,ضلعو نوشهرو فيروز تاريخ جي آئيني ۾,Aslam Abbasi,2007,اسلم عباسي,Zilo Noshehro Feroze taareekh je aaeene mein,Noshehro Feroze Seminar Committee,sindhi,,
san_0728,نگاهن جا سجدا (شاعري),Rukhsana Preet,2014,رخسانه ”پريت“۔,Nigaahun ja Sajda,"My Publications, Sakhar.",sindhi,,
san_0722,ميراڻي سنڌڙي,Naraindas R. Malkani,1936,پروفيسر نارائڻداس ملڪاڻي,Meerani Sindhri,"Sindhi Sahat Mandal, Hyderabad.",sindhi,,
san_0725,جت سنڌوءَ ۾ سمنڊ وهي ٿو,Amar Laghari,2003,امر لغاري,Jit Sindhooa mein Samundr wahe tho,"Mohen-jo-Daro Publishing Agency, Larkano",sindhi,,
san_0025,شام جا ٺڳ,Mohammad Saleh Khuhro,1999,محمد صالح کهڙو,Shaam ja Thag,Mehran Academy,sindhi,,
san_0328,سورن سانباهو (شاعري),Sattar Pirzado,2010,ستار پيرزادو,Sooran sanbaaho,"Sindh Adabi Academy, Karachi.",sindhi,,
san_0334,سنڌ هڪ درد ڪهاڻي آهي,Manzoor Solangi,2016,منظور سولنگي,Sindh Hik Dard Kahani Aahay,Sindhica,sindhi,,
san_0234,سجاڳيءَ جو سڏ (پير پاڳاري جا مضمون، تاثرات، خط),Sardar Bhayo,2010,سردار ڀيو,SujaaGia jo saDu,,sindhi,,
san2020-23,عاشورا آهن,M. Ali Pathan,1995,محمد علي پٺاڻ,Aashura Aahin,"Nawaz Printing Press, Larkana.",sindhi,,
san2020-4,شاھ جي رسالي جو مطالعو,Maulana Din M. Wafai,1976,مولانا دين محمد وفائي,Shah je Risale jo Mutaleo,"Wafai Publishing House, Karachi.",sindhi,,
san2020-62,گرو نانڪ ديو- جيوني ۽ گيان,Lokram Dodeja,1998,لوڪرام ڏوڏيجا,Guru Nanak Dev,Haresh G. Dodeja,sindhi,,
san2020-80,ٻه ڪتاب (بدنصيب ٿري ۽ سنڌي سٻاجھڙا),Aziza & Syed Ghulam Mustafa Shah,1998,عزيزه ۽ سيد غلام مصطفى شاھ,Ba Kitaab,"Shah Abdul Latif Culture Society, Karachi",sindhi,,
san_0034,وامق عذرا,Mirza Qaleech Baig,1993,مرزا قليچ بيگ,Wamaq Azra,Sindhi Adabi Board,sindhi,,
san_0180,سنڌي ٻوليءَ جي تاريخ,Bherumal Maharchand Advani,1993,ڀيرومل مهرچند آڏواڻي,Sindhi bolia jee taareekh (A History of Sindhi Language),"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0384,منهنجو ڏس آسمان کان پڇو,Amar Jaleel,2000,امر جليل,Munhinjo Dus Aasman Khaan Puchho (Short Stories),"Roshni Publications, Kandiaro.",sindhi,,
san_0424,مثنوي,Jalaluddin Rumi,2003,جلال الدين رومي (سنڌيڪار غلام محمد شاهواڻي),Masnavi,Sindhica,sindhi,,
san_0431,چنڊ چنبيليءَ ول,Shaikh Ayaz,1985,شيخ اياز,Chandru chmbelia vali,New Fields Publications,sindhi,,
san_0436,سنڌ جو سياسي ۽ سماجي شعور (مضمون),Shahban Sahto,2016,شهبان سهتو,Sindh jo siasi ain samaji shaoor,"Popat Publishing House, Khairpur.",sindhi,,
san_0467,سنڌ ڌرتي مذهبن جي ماءُ,Ann Moura,2010,ائن مورا (سنڌيڪارعطا محمد ڀنڀرو),Sindh Dharti Maziiban Jee Mau,"Roshni Publications, Kandiaro",sindhi,,
san_0508,درويش وتايو فقير,Gul Mohammad Tunio,2012,گل محمد تنيو,Darwesh Vataayo [Wataayo] Faqeer,Shah Latif Kitab Ghar,sindhi,,
san_0516,سنڌي وياڪرڻ - ڀاڱو ٻيو - مرزا قليچ بيگ,Mirza Qaleech Baig,1970,مرزا قليچ بيگ,Sindhi wiyakaraN [Sindhi Grammar] (Vol. 2),"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0520,سنڌ جي هندن جي تاريخ (ٻئي ڀاڱا),Bherumal Maharchand Advani,2000,ڀيرومل مهرچند آڏواڻي,Sindh je Hindun jee tareekh,"Sindhi Saahat Ghar, Hyderabad.",sindhi,,
san_0774,ڌرتي روشن آهي (ڪهاڻيون),Agha Saleem,1992,آغا سليم,Dharti Roshan Aahe (Short Stories),New Fields Publications,sindhi,,
san_0800,سوال (شاعري),Sultana Waqasi,2010,سلطانه وقاصي,Sawal (Poetry),"Kunj Academy, Karachi.",sindhi,,
san_0807,مون وٽ نڪا پيتي نڪو ڪلف ڪنجي (ڀڳت کيم چند آسناڻيءَ جي آتم ڪهاڻي),Vali Ram Vallabh,2004,ولي رام ولڀ,"Moon Wata Naka Peti, Nako Kulf Karo (I Have Neither Safe Nor Lock & Key)",Unknown,sindhi,,
san_0699,گوهر شاھہ جو گيان (شاعري ڀاڱو پهريون),Syed Ali Gohar Shah,2004,سيد علي گوهر شاهه,Gohar Shah Jo Giyan (Poetry),"Sindhi Adabi Sangat, Nawan Jatoi.",sindhi,,
san_0744,ڀڳت ڪنور رام جو جيون چرتر,Ramchand Gulrajani,2010,رامچند گلراجاڻي,Bhagat Kanwar Ram,Unknown,sindhi,,
san_0827,جر ٿر تک تنوار,Shamsher-ul-Haideri and Anwar Halai,1979,شميشيرالحيدري ۽ انور هالائي,Jara Thara Tikha Tanwar,"Sindh Graduates Association, Karachi.",sindhi,,
san_0870,"ماهوار ""تحريڪ"" (آگسٽ 1973)",Qasim Pathar Sindhi,1973,قاسم پٿر سنڌي,"Monthly ""Tahreek"" (August 1973)","Suhani Printers, Hyderabad.",sindhi,,
san2020-118,رنگين تنهائي (شاعري),Mansoor Sitai,2016,منصور سيتائي,Rangeen Tanhai,"Roshni Publications, Kandiaro.",sindhi,,
san2020-124,سومرن جي دور جا سورما,Dada Sindhi,1989,دادا سنڌي,Soomran Je Dor Ja Surmaa,"Sindh Tahqeeqi Board, Hyderabad.",sindhi,,
san2020-281,جهڙا گل گلاب جا (ڀاڱو ٻيو),Ghulam Rabani Aagro,2007,غلام رباني آگرو,Jahirra Gul Gulab Ja (Vol. 2),"Sindhi Adabi Board, Jamshoro.",sindhi,,
san2020-91,شاھه جو رسالو (1206 هجري وارو نسخو) رسالي جي ٽن سرن مان چونڊيل بيتن جو اختصار,Dr. Nabi Bakhsh Baloch,1989,ڊاڪٽر نبي بخش بلوچ,The Earliest dated Manuscript of part of Shah-jo-Risalo,,sindhi,,
san2020-97,نکريو آهي نينهن (شاعري),Narayan Shyam,1999,نارايڻ شيام,Nikhrio Aahay Neenhun,"Roshni Publication, Kandiaro, Sindh.",sindhi,,
san_0026,جنرل هوش محمد شيدي,Naseer Aijaz,1990,نصير اعجاز,General Hosh Muhammad Sheedi,"Department of Culture, Sindh.",sindhi,,
san_0058,درد جون شڪليون,Aajiz Meerwahi,2010,عاجز ميرواهي,Darda joon Shiklyoon,Sindh Adabi Academy,sindhi,,
san_0072,ڪتين ڪر موڙيا جڏهن (ڀاڱو ٽيون),Shaikh Ayaz,1996,شيخ اياز,Katyun kar moRya jaDahin,"Sindh Adabi Academy, Karachi.",sindhi,,
san_0083,محمود مغل جون ڪهاڻيون,Mahmood Mughal,1995,محمود مغل,Mahmood Mughal joon kahaNiyun,"Baakh Publications, Karachi.",sindhi,,
san_0109,ڪراچيءَ جا ڏينهن ۽ راتيون,Shaikh Ayaz,1989,شيخ اياز,Karachi Ja Deenhan Ain Ratiyoon (A Memoir),New Fields Publications,sindhi,,
san_0211,آکاڻي-1 2006,Sattar Pirzado,2006,ستار پيرزادو,Aakhani 1 - 2006,Sindh Adabi Academy,sindhi,,
san_0226,ڇوليون ٻوليون سمنڊ جون (شاعري),Shaikh Ayaz,1993,شيخ اياز,Chholyoon Boliyoon Samundra joon,"Maktaba-e-Danyal, Karachi.",sindhi,,
san_0230,ڪٿي تہ ڀڃبو ٿڪ مسافر - آتم ڪهاڻي (جلد پهريون),Shaikh Ayaz,1995,شيخ اياز,Kithe ta banjbo thaku musafir,New Fields Publications,sindhi,,
san_0269,ڳجھارتون (ٻہ ڀاڱا),Dr. Nabi Bakhsh Baloch,2010,ڊاڪٽر نبي بخش بلوچ,Gujharatoon (Riddles),"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0270,لب تاريخ سنڌ (1989),Khudadad Khan,1989,خداداد خان (سنڌيڪار خير محمد اوحدي),Lub e Tareekh e Sindh,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0289,فلسفي جي مختصر تاريخ,Akbar Laghari,2003,اڪبر لغاري,Falsafe jee mukhtasir taareekh,New Fields Publications,sindhi,,
san_0321,ڪنڊڙيءَ وارن جو ڪلام (روحل فقير ۽ مراد فقير),Rohal Faqeer & Murad Faqeer,1983,روحل فقير ۽ مراد فقير,KunDRia waaran jo kalaam,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0364,ڪرسي (مضمون ۽ ترجما),Abdul Qadir Junejo,1998,عبدالقادر جوڻيجو,Kursi,"Kawish Publications, Hyderabad.",sindhi,,
san_0547,حفيظ قريشي: سيد جو ساٿي,Azad Qazi,2001,آزاد قاضي,Hafiz Qureshi,"G. M. Syed Foundation, Karachi.",sindhi,,
san_0575,آپگھات جو آلبم,Amrita Pritam,2002,امرتا پريتم (سنڌيڪار انمول نظاماڻي),Aapghaat jo album,Sindh Book Club,sindhi,,
san_0661,ڪي ڪي ماڻهو، وديا ساگر (مقالا، مضمون ۽ خاڪا),Manzoor Kohiyar,2010,منظور ڪوهيار,Ke ke maNRHuun vidya saagar,"Kanwal Publications, Qambar.",sindhi,,
san_0901,سماجواد سلسلو نمبر 35 (اپريل-جون 2019),Bakhshal Thalho,2019,بخشل ٿلهو,Samajwad (April-June 2019),"Awami Workers Party, Hyderabad.",sindhi,,
san2020-206,هاءِ اسڪول مبارڪ جروار (روشنيءَ جي اڌ صدي),Muhammad Khan Jarwar,2015,محمد خان جروار,High School Mubarak Jarwar,Village Education Trust Mubarak Jarwar,sindhi,,
san_0639,ڀؤنرن جي انتظار ۾ (مختصر مختصر ڪهاڻيون),Manzoor Kohiyar,2012,منظور ڪوهيار,Bhaunran je intizaar mein,"Kanwal Publications, Qambar.",sindhi,,
san2020-56,ڳالهيون ڪنڌي ڪاڪ جون,Rochi Ram,2011,روچي رام,Galhyoon kandhee kaak joon,Lakshmi Publishing House,sindhi,,
san_0597,دوستي,Plato,1992,افلاطون (سنڌيڪار ڊاڪٽر گل بليدي),Dosti,"Roshni Publications, Kandiaro",sindhi,,
san_0066,جوڳيئڙا جهان ۾ (مشاهير دادو),Mohammad Amin Magsi,1997,محمد امين مگسي,JoGeeaRa jahaan mein,,sindhi,,
san_0146,گرو نانڪ جو روحاني اپديش,J. R. Puri,1995,جي آر پري,Guru Nanak',"Radhasoami Satsang, Beas (Punjab).",sindhi,,
san_0345,اترادي ٻولي,Dr. Hidayat Prem,1995,ڊاڪٽر هدايت پريم,Utraadi Boli,Sindhi Language Authority,sindhi,,
san_0351,چوٿين مارچ ۽ اڄ جي شاگرد سياست,Hameed Sabzoi,1991,حميد سبزوئي,Chotheen March ain ajj jee shagird tahreek,"Jaan Publications, Karachi | ڄاڻ پبليڪيشنز، ڪراچي۔",sindhi,,
san_0839,ٽي ناٽڪ (عورتن جي جنگ، مسٽر سئمپسن، خود عظيم گلوب),Unknown,2000,اڻڄاتل,Three Plays,Unknown,sindhi,,
san_0116,مڊوائيفري باتصوير,Dr. Shershah Syed,2007,ڊاڪٽر شير شاھ سيد,Midwifery baTasweer (Pictorial Midwifery),,sindhi,,
san2020-175,ترڪيءَ ۾ چار مسافر (سفرنامو),Dr. Mehboob Shaikh,2010,ڊاڪٽر محبوب شيخ,Turkey men Chaar Musafir,Popat Publishing House,sindhi,,
san_0189,گهرا گهرا گهاءَ (ڪهاڻيون),Zaffar Abbasi,2000,ظفر عباسي,Gahra gahra ghao,Saahti Publications,sindhi,,
san_0224,شاھ لطيف جي شاعري (وڌايل ۽ سنواريل),Dr. Tanveer Abbasi,1995,تنوير عباسي,Shah Lateef jee Shairi,"Roshni Publications, Kandiaro",sindhi,,
san2020-126,سرد جنگ جا پنجاھ سال (يادگيريون),Andrei Gromyko,1998,آندري گروميڪو(سنڌيڪار رئوف نظاماڻي),Sard Jang Jaa Panjaah Saal,"Sindhica Academy, Karachi.",sindhi,,
san_0791,پيڙا جو سفر (آتم ڪٿا),Hameeda Ghanghro,2006,حميده گهانگهرو,Peera jo Safar,Shaheed Nazir Abbasi Foundation,sindhi,,
san_0739,سنڌ هڪ عام جائزو (جلد ٻيو): سنڌ مسلمانن جي فتح کان اڳ,H. T. Lambrick,2005,ايڇ ٽي لئمبرڪ,Sind [Sindh] before Muslim Conquest,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0753,جالڻ جهانگين ساڻ (شاعري),Khadim Hussain Abro,2010,خادم حسين ابڙو,JaalaN jhangiyun saaN (Poetry),Unknown,sindhi,,
san_0190,شمرانہ، عرف شيطان جي ناني,Mirza Qaleech Baig,1993,مرزا قليچ بيگ,Shamrana urf Shaitan jee naani,Sindhi Adabi Board,sindhi,,
san_0463,سنڌ جي فاطمہ (غلام فاطمہ لغاريءَ جي سوانح عمري ۽ تاثرات),Mohammad Ali Laghari,2010,چاچا محمد علي لغاري,Sindh jee Fatima,"The Sindh Academy, Hyderabad",sindhi,,
san_0074,سنڌي انسٽرڪٽر,Munshi Anandram,1983,منشي انندرام (محمد ابراهيم جويو),Sindhi Instructor,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0519,الله وڌايو عرف وتايو فقير,Hafiz Badruddin,,حافظ بدرالدين,Vataayo [Wataayo] Faqeer,Moulvi Mohammad Azeem,sindhi,,
san2020-190,ترقي پسند ادب جا معيار,Khaki Joyo,1986,خاڪي جويو,Taraqi pasand adab ja maiyaar,"Sangam Publications, Karachi.",sindhi,,
san_0366,راهون پنڌ پيون (مڪمل غزل),Narayan Shyam,1998,نارايڻ شام,Rahoon pandh piyoon,"Roshni Publications, Kandiaro.",sindhi,,
san_0096,جيئي سنڌ جيئي سنڌ (نظم),Hyder Bakhsh Jatoi,1967,حيدر بخش جتوئي,"Jeay Sindh, Jeay Sindh nazm",Hyder Bakhsh Jatoi,sindhi,,
san2020-28,وچڙندڙ جنسي بيماريون,Dr. Sharaf Ali Shah,1995,ڊاڪٽر شرف علي شاھ,Sexually Transmitted Diseases (STDs),Government of Sindh,sindhi,,
san_0307,عشق عبادت (شاعري),Saleem Bachani,2005,سليم بچاڻي,Ishq Ibadat,"Amarta Publications, Hyderabad.",sindhi,,
san2020-172,گانڌيءَ جو قتل,Justice G. D. Khosla,2001,خالد چانڊيو,Gandhi Jo Qatal,Mohen Jo Daro Publishing Larkano.,sindhi,,
san_0669,قومي غدار ۽ حساب ڪتاب,Liaqat Aziz,1993,لياقت عزيز,Qoumi ghadaar ain hisaab kitaab,New Fields Publications,sindhi,,
san2020-159,نادر بيگ مرزا جون ڪهاڻيون,Naseer Mirza,1992,نصير مرزا,Nadir Baig Mirza Joon Kahanyoon,"Institute Of Sindhlogy University Of Sindh, Jamshoro.",sindhi,,
san2020-108,تاريخ جي ڪٽهڙي ۾,Ikram Sagar Abbasi,1996,اڪرام ساگر عباسي,Tareekh Je KatahRy Mein,"Sindh Publishing House, Karachi.",sindhi,,
san2020-110,سنڌي پهريون ڪتاب 1993 اجمير,Pirbhdas Brahamchaari,1993,پرڀداس برهمچاري,Sindhi Pahriyon Kitab,"Sunder Sahtiya Publishing House, Ajmer.",sindhi,,
san2020-115,جي تَندُ برابر توريان (ڪهاڻيون),Shaikh Ayaz,1998,شيخ اياز,Je Tandu Barabar Toriyan (Short Stories),"Sindh Adabi Academy, Karachi.",sindhi,,
san2020-123,ڀينڊو بادشاهه,Abdulmalik Memon,1995,عبدالمالڪ ميمڻ,Bhendo Badshah,Mehran Academy,sindhi,,
san2020-135,هٿياربند انقلابي جدوجهد,Kwame Nkrumah,2013,ڪوامي نڪروما (سنڌيڪار سارنگ),Hathyarband Inqilabi Jidojahd,"Shaheed Fahad Aziz Academy, Sindh.",sindhi,,
san2020-26,تاريخ سکر,Raheemdad Khan Mollai Sheedai,1992,رحيمداد خان مولائي شيدائي,Tareekh e Sukkur,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san2020-260,سڄڻ ساهہ پساهہ ۾ (مضمون- مقالا ۽ خاڪا),Shafi Chandio,2019,شفيع چانڊيو,"SaJaN Saah Pasaah (Articles, Sketches)","Shaheed Mir Imdad Chandio Yadgaar Committee, Hyderabad.",sindhi,,
san2020-267,سنڌي ساهت ۽ مشهور مستشرقين,Habib Ullah Bhutto,1983,حبيب االله ڀٽو,Sindhi Literature and famous Orientalists,Miskeen Publications,sindhi,,
san2020-296,اندر جنين اڌ (ڪالم),Ali Gohar Khuhawarr,1995,علي گوهر کهاوڙ,Andar Jineen Adh,Ayaz Asghar Publication,sindhi,,
san_0293,تخت گاهہ خداآباد (ڪلهوڙا دؤر حڪومت جو معاشي ۽ سياسي تجزيو),Nazir Bhand,2004,نظير ڀنڊ,Khuda Abaad (an Economical & Political Review),"Sindh Graduates Association, Karachi.",sindhi,,
san_0303,ڌراڙن جا ڌڪ,Rasool Bakhsh Palijo,1987,رسول بخش پليجو,DharaaRan jaa dhak,"Azmat Adabi Academy, Hyderabad.",sindhi,,
san_0410,ڏاهيون ڏک ڏسن (ڏاهپ جي ڏاتار سقراط جي سهيڙيل گفتگو),Plato,2003,افلاطون (سنڌيڪار ڊاڪٽر گل بليدي),Daahiyoon dukh disan,"Roshni Publications, Kandiaro.",sindhi,,
san_0413,ڀولڙي جي ڀل ۽ ٻيون آکاڻيون,Gohar Mumtaz Qazi,1984,گوهر ممتاز قاضي,BholRay jee Bhul,Sindhi Adabi Board,sindhi,,
san_0427,هٿ ترين تي روشن دک (شاعري),Paras Hameed,2006,پارس حميد,"Hath tariyun te, roshan dukh","Kaak Publishers, Hyderabad.",sindhi,,
san_0554,ڪائنات جي ڳولا,Stephen Hawking,1999,اسٽيفن هاڪنگ (سنڌيڪار نديم گل عباسي),Kainaat jee Golha,Sindhica,sindhi,,
san_0560,سنسار، سنڌ ۽ منهنجي سوچ (ڪالم),Bashir Mangi,2011,بشير منگي,"Sansaar, Sindh ain munhinjee socha","Sindhi Adabi Sangat, Sakhar.",sindhi,,
san_0459,پيغام لطيف,G. M. Syed,2005,جي ايم سيد,PAIGHAM--E-LATIF,"G. M.Syed Academy, Sann.",sindhi,,
san_0826,صحرا ۾ سج (شاعري),Abd Magsi,2012,عبد مگسي,Sahra mein sijju,"Gulshan Publications, Hyderabad.",sindhi,,
san_0833,سنڌ ۾ پکين ۽ جانورن جو شڪار,Mohammad Ismail Ursani & Ghulam Rabani,1977,محمد اسماعيل عرساڻي ۽ غلام رباني,Sindh mein pakhyun ain jaanwaran jo shikar,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0836,اردو سنڌي لغت,Dr. Nabi Bakhsh Baloch,1960,ڊاڪٽر نبي بخش بلوچ,Urdu Sindhi Lughat,"Sindh University, Hyderabad.",sindhi,,
san_0846,ماهوار ”نئين زندگي“ (مارچ 1972),Shamshir-ul-Hyderi,1972,شمشيرالحيدري,"Monthly ""Naeen Zindagi"" (March 1972)","Pakistan Publications, Karachi.",sindhi,,
san_0848,ماهوار ”نئين زندگي“ (فيبروري 1972),Shamshir-ul-Hyderi,1972,شمشيرالحيدري,"Monthly ""Naeen Zindagi"" (February 1972)","Pakistan Publications, Karachi.",sindhi,,
san2020-208,انسان جي تاريخ (حصو پهريون),Habibullah Siddiqui,2001,حبيب الله صديقي,Insan Jee Tareekh (Vol. 1),"Habib Siddiqui Academy, Jamshoro.",sindhi,,
san2020-9,بک (ناول),Knut Hamsun,1998,ڪنُوٽ هامسُن (سنڌيڪار يوسف سنڌي),Hunger (Novel),New Fields Publications,sindhi,,
san_0075,آرسي (ڪهاڻيون) جلد-1,Vali Ram Vallabh & Zaffar Hassan,2013,ولي رام ولڀ ۽ ظفر حسن,Aarsi Kahaniyoon (Volume 1),"Phoenix Books, Hyderabad",sindhi,,
san_0084,تلاش (ناول),Najam Abbasi,1996,نجم عباسي,Talaash (Novel),"Sindhi Saahat Ghar, Hyderabad",sindhi,,
san_0201,ڳجھارتون ۽ پيروليون,Unknown,2000,اڻڄاتل,Gujhartoon ain Peeroliyoon,Shuaib Ahmed and Brothers,sindhi,,
san_0261,(سنڌ ڳالهائي ٿي (عدالتي بيان,G. M. Syed,1994,جي ايم سيد,Sindh Galhai Thee,"Naeen Sindh Publications, Karachi.",sindhi,,
san_0264,عام فهم اقتصاديات: مال و دولت ۽ خوشحالي بابت هر ڄاڻ هجڻ ضروري آهي,Dr. Ayub Mahar,2012,ڊاڪٽر ايوب مهر,Aam faham Iqtisadiat,Economic Freedom Network، Pakistan.,sindhi,,
san_0600,ذاتين جي انسائيڪلوپيڊيا,Khair Mohammad Buriro Sewhani,2005,خير محمد ٻرڙو سيوهاڻي,Zaatiyun jee encyclopedia,,sindhi,,
san_0611,چار داڻا,Khwaja Ahmed Abbas,1984,خواجه احمد عباس (سنڌيڪار ابن حيات پنهور),Chaar DaNa,"Mansoor Publications, Hyderabad.",sindhi,,
san_0755,قومي انقلاب,Jalal Mahmood Shah,2010,جلال محمود شاھ,qoumi inqilaab,Sindh United Party,sindhi,,
san_0758,حيدر بخش جتوئي,Sohail Sangi,1990,سهيل سانگي,Haidar Bakhsh Jatoi,"Department of Culture, Sindh.",sindhi,,
san_0759,اوچا ڳاٽ پهاڙن جا (ڪهاڻيون ۽ انٽرويوز),Najam Abbasi,1993,نجم عباسي,Oocha GaaT pahaRan jaa,New Fields Publications,sindhi,,
san_0763,سن 1973ع جو آئين ۽ پاڪستان جي مختصر آئيني تاريخ,Rasool Bakhsh Unar,2006,رسول بخش انڙ,1973 jo aaeen,"Roshni Publications, Kandiaro",sindhi,,
san_0795,سنڌوءَ جو سفر 1989ع,Badar Abro,1994,بدر ابڙو,Sindhu-a jo Safar,Sindhica,sindhi,,
san_0804,جام جم (تصانيف شمس الدين بلبل 1),Ghulam Mohammad Girami,1977,غلام محمد گرامي,Jam e Jam,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0891,هلال پاڪستان مئگزين (جنوري 1983ع),Faqeer Mohammad Lashari,1983,فقير محمد لاشاري,Halal Pakistan Magazine (January 1983),"Shaikh Sultan Trust, Karachi.",sindhi,,
